run_time_utc,lookback_days,parameter_code,bbox,query_start_date,query_end_date,raw_field_measurement_rows,discovered_sites,current_candidate_sites,additions_vs_current,current_missing_from_preview,latest_30d_count,latest_90d_count,latest_1y_count,latest_2y_count,latest_3y_count,known_sites_found,known_sites_missing,notes
2026-06-01T04:45:01Z,800,72019,"-124.6,32.3,-113.8,42.2",2024-03-22,2026-06-01,11869,2312,0,2312,0,273,1264,1733,2205,2312,362402116280901,,Preview only; no production candidate files were modified. Bbox is the BRIM discovery envelope and may include border-context wells.
2026-06-01T04:45:01Z,1826,72019,"-124.6,32.3,-113.8,42.2",2021-05-31,2026-06-01,30252,3168,0,3168,0,273,1264,1733,2205,2499,362402116280901,,Preview only; no production candidate files were modified. Bbox is the BRIM discovery envelope and may include border-context wells.
