"nlcs_id","raw_brim_source_name","source_segment_number","source_globalid","geometry_type","geometry_component_count","package_match","official_display_name","research_readiness","join_method","unresolved_discrepancies"
"NLCS000280","California Historic Trail","CA00000001","{93CE38D7-117D-42E9-B649-3F7CE75647B5}","MULTILINESTRING",114,TRUE,"California National Historic Trail","ready_with_documented_unknowns","exact_nlcs_id","Package raw_source_name was officialized; authoritative BRIM raw NLCS_NAME preserved."
"NLCS000281","Pony Express Trail","CA00000002","{C395DCCB-B94D-489A-B5F4-4AC9BD73AEFB}","MULTILINESTRING",6,TRUE,"Pony Express National Historic Trail","ready_with_documented_unknowns","exact_nlcs_id","Package raw_source_name was officialized; authoritative BRIM raw NLCS_NAME preserved."
"NLCS000282","Old Spanish Trail","CA00000003","{CBF96761-2809-490E-8A62-9CB7073F7405}","MULTILINESTRING",28,TRUE,"Old Spanish National Historic Trail","ready_with_documented_unknowns","exact_nlcs_id","Package raw_source_name was officialized; authoritative BRIM raw NLCS_NAME preserved."
"NLCS000283","Juan Bautista de Anza Trail","CA00000004","{2B6E9491-852B-49A8-9803-6B669D6370E1}","MULTILINESTRING",7,TRUE,"Juan Bautista de Anza National Historic Trail","ready_with_documented_unknowns","exact_nlcs_id","Package raw_source_name was officialized; authoritative BRIM raw NLCS_NAME preserved."
"NLCS000284","Pacific Crest Trail","CA00000005","{2FF32AAD-0DCF-432C-A0D9-78DB5C9C7C86}","MULTILINESTRING",11,TRUE,"Pacific Crest National Scenic Trail","ready_with_documented_unknowns","exact_nlcs_id","Package raw_source_name was officialized; authoritative BRIM raw NLCS_NAME preserved."
"NLCS000285","Butterfield Overland National Historic Trail","CA00000006","{78A1BC33-D857-4F79-9941-309593674C29}","MULTILINESTRING",11,TRUE,"Butterfield Overland National Historic Trail","ready_with_documented_unknowns","exact_nlcs_id",""
