facility_id,project_family,project_name,project_division,project_unit,project_subunit,project_path,membership_role,assignment_confidence,evidence_rule_id,evidence_url,project_key,project_id
CVY_16E1072B,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_16EE1FAF,CVP,Central Valley Project,American River Division,Sly Park Unit,Camp Creek diversion system,American River Division > Sly Park Unit > Camp Creek diversion system,facility,authoritative_crosswalk,CVP_AMERICAN_SLY_CAMP,https://www.usbr.gov/projects/index.php?id=505,CVP|Central Valley Project|American River Division|Sly Park Unit|Camp Creek diversion system,PRJ_29026276
CVY_1702A583,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1741DCE4,Local/regional public,Central California Irrigation District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Central California Irrigation District|||,PRJ_293FE57F
CVY_17CF3E77,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_182675AB,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_18E8D448,Other Reclamation,Klamath Project,,,,,facility,authoritative_crosswalk,BOR_KLAMATH,https://www.usbr.gov/projects/index.php?id=470,Other Reclamation|Klamath Project|||,PRJ_79BDE48C
CVY_19010B47,CVP,Central Valley Project,Delta Division,Contra Costa Canal,,Delta Division > Contra Costa Canal,facility,authoritative_crosswalk,CVP_DELTA_CCC,https://www.usbr.gov/projects/index.php?id=477,CVP|Central Valley Project|Delta Division|Contra Costa Canal|,PRJ_61C7C8A7
CVY_1A1A3B2C,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1A2995C2,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1A9AE67E,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1AE7EE36,Local/regional public,Turlock  Irrigation District; Kings River Water Association,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Turlock  Irrigation District; Kings River Water Association|||,PRJ_50450703
CVY_1B502D10,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1C188A61,Other Reclamation,Orland Project,,Orland Project conveyance,,Orland Project conveyance,facility,authoritative_crosswalk,BOR_ORLAND,https://www.usbr.gov/projects/index.php?id=373,Other Reclamation|Orland Project||Orland Project conveyance|,PRJ_2D64A265
CVY_1C19DBB4,Other Reclamation,Boulder Canyon Project,,All-American Canal system,,All-American Canal system,facility,authoritative_crosswalk,BOR_BOULDER,https://www.usbr.gov/lc/region/programs/bcp.html,Other Reclamation|Boulder Canyon Project||All-American Canal system|,PRJ_05ED4047
CVY_1CADAC8B,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1D2E30AB,Local/regional public,Metropolitan Water District,,,,,facility,provisional,LOCAL_FALLBACK,,Local/regional public|Metropolitan Water District|||,PRJ_3DFDEE1C
CVY_1D3B4F53,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1D8CFE4E,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1D8F6527,Unknown/unassigned,Unassigned,,,,,facility,unassigned,UNASSIGNED_FALLBACK,,Unknown/unassigned|Unassigned|||,PRJ_070B8008
CVY_1DF12A29,Other Reclamation,Klamath Project,,,,,facility,authoritative_crosswalk,BOR_KLAMATH,https://www.usbr.gov/projects/index.php?id=470,Other Reclamation|Klamath Project|||,PRJ_79BDE48C
