facility_id,canonical_name,facility_segment_count,facility_crosses_blm,facility_length_mi_source,facility_length_on_blm_mi,facility_min_blm_distance_mi,facility_length_mi_calculated,facility_pct_length_on_blm,facility_crossing_segment_count,facility_crossing_count
CVY_00049B8E,KLAMATH CENTER CANAL,1,FALSE,4.026447899798827,0,5.571162024474997,4.026447899798827,0,0,0
CVY_001F8FA8,Herndon Canal,2,FALSE,24.187690863592024,0,11.545161621116737,24.187690863592024,0,0,0
CVY_004C73AE,'Upper' Gold Hill Canal (Orr Creek),1,FALSE,1.3280846799040469,0,3.5427023779189613,1.3280846799040469,0,0,0
CVY_0092AF31,Intertie,2,FALSE,4.51489081543659,0,2.4105088515689173,4.51489081543659,0,0,0
CVY_0167BFA9,San Luis Drain,2,FALSE,98.38872529609559,0,0.9450477297527964,98.38872529609559,0,0,0
CVY_01A703CC,Proposed Watsonville Canal,1,FALSE,22.393305920747743,0,7.386744353024402,22.393305920747743,0,0,0
CVY_01E6DCF2,KLAMATH C CANAL,3,FALSE,43.65082285637024,0,0.11276222814915797,43.65082285637024,0,0,0
CVY_01F93789,West Branch California Aqueduct,6,FALSE,34.50093417860815,0,0.36508826882793394,34.50093417860815,0,0,0
CVY_023742FB,Bypass Spill Channel,2,FALSE,0.18623647878920813,0,3.8612073637367876,0.18623647878920813,0,0,0
CVY_02BE0F98,West Branch Lakeland Canal,1,FALSE,3.352498962357918,0,8.027816164430803,3.352498962357918,0,0,0
CVY_02C0B6D8,PUTAH SOUTH CANAL GREEN VALLEY CONDUIT,1,FALSE,2.223103131510392,0,13.910935922981132,2.223103131510392,0,0,0
CVY_031FE24C,ALL AMERICAN CANAL NEW RIVER SIPHON,1,FALSE,0.09575050478682498,0,1.21970087660803,0.09575050478682498,0,0,0
CVY_03678E60,Stallman Canal,2,FALSE,0.32175967099196967,0,3.9232112330389177,0.32175967099196967,0,0,0
CVY_039DD70F,Lincoln Canal,1,FALSE,5.54156560140277,0,3.503745415404696,5.54156560140277,0,0,0
CVY_03A29A2E,Anderson Cottonwood Irrigation District Canal,1,FALSE,6.784588104429764,0,0.08098626168722282,6.784588104429764,0,0,0
CVY_03AE5904,Riego,2,FALSE,1.4848421470030473,0,18.030431973139898,1.4848421470030473,0,0,0
CVY_03DDB527,Westlands Water District Lateral 4-5.5,1,FALSE,6.503677905780381,0,3.850911013951378,6.503677905780381,0,0,0
CVY_03E6A686,Alejandro Canal,2,FALSE,5.934820234603143,0,4.496848603129752,5.934820234603143,0,0,0
CVY_03EECDC1,Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved),1,FALSE,32.55181644485999,0,10.011405351273034,32.55181644485999,0,0,0
CVY_03EF0B1D,Stahl Ditch,2,FALSE,4.405476387408485,0,1.9804555903001486,4.405476387408485,0,0,0
CVY_040635D8,Spangler South,2,FALSE,1.1748636137408115,0,21.617532868663503,1.1748636137408115,0,0,0
CVY_0438E8F2,Adams West Canal,1,FALSE,13.002063652487289,0,3.6126316643442165,13.002063652487289,0,0,0
CVY_043B4F94,El Centro,1,FALSE,1.25607412111132,0,16.196687300658382,1.25607412111132,0,0,0
CVY_048110EF,South San Joaquin Main Canal,1,FALSE,16.75925580712209,0,1.9273326542588067,16.75925580712209,0,0,0
CVY_04CF4069,Shafter-Wasco Irrigation District Lateral,1,FALSE,5.318048024747626,0,8.329039130501961,5.318048024747626,0,0,0
CVY_04D47F32,Consolidated Peoples Ditch,1,FALSE,2.3015980844732287,0,4.93207925204339,2.3015980844732287,0,0,0
CVY_04E8ED29,Dry Creek Canal,1,FALSE,21.608103783097523,0,18.75948103445059,21.608103783097523,0,0,0
CVY_05028EEA,CHOWCHILLA BYPASS,1,FALSE,21.75664480422846,0,3.2099230106702983,21.75664480422846,0,0,0
CVY_053D77D4,South Fork Power Tunnel,1,FALSE,2.70168492710188,0,1.8820116710589752,2.70168492710188,0,0,0
CVY_0555A924,MARIPOSA BYPASS,1,FALSE,4.3783872335259515,0,21.967127942862874,4.3783872335259515,0,0,0
CVY_0559E8DD,Lateral A-6,1,FALSE,2.710938035256669,0,11.261219639977547,2.710938035256669,0,0,0
CVY_0586FC82,Palermo Canal,1,FALSE,15.489049735146663,0,1.4413915446270185,15.489049735146663,0,0,0
CVY_060E9824,3,2,FALSE,1.1523303823226372,0,19.813879459897105,1.1523303823226372,0,0,0
CVY_060E9825,4,2,FALSE,1.4303745599012778,0,18.998707342147636,1.4303745599012778,0,0,0
CVY_060E9826,5,2,FALSE,0.6367513022779827,0,19.215404841406347,0.6367513022779827,0,0,0
CVY_060E9827,6,1,FALSE,0.9292224109627186,0,18.74998540495765,0.9292224109627186,0,0,0
CVY_060E9829,8,1,FALSE,0.4990467422330543,0,17.687416468318244,0.4990467422330543,0,0,0
CVY_06200379,San Luis Canal (California Aqueduct joint-use reach),2,FALSE,101.63293193007314,0,1.022939321818118,101.63293193007314,0,0,0
CVY_0691119C,Coalinga Canal,1,FALSE,14.590856819381905,0,1.1795438763714599,14.590856819381905,0,0,0
CVY_06BDB468,Unnamed conveyance — Major Conveyance row 835,1,FALSE,3.045721947585486,0,10.361215822401487,3.045721947585486,0,0,0
CVY_06F08357,Mt. Diablo Creek,1,FALSE,10.191546335218854,0,1.4687497981431825,10.191546335218854,0,0,0
CVY_072D51A1,Knights Landing Ridgecut,1,FALSE,7.422914771258103,0,20.972278453163696,7.422914771258103,0,0,0
CVY_075A73D5,West Interception Canal,1,FALSE,1.1418141244361175,0,15.149680949481475,1.1418141244361175,0,0,0
CVY_07920BA7,Sutter Butte Canal,4,FALSE,25.49132357062725,0,8.73958119927191,25.49132357062725,0,0,0
CVY_079295DA,American Canyon Pipeline,1,FALSE,7.919515113609055,0,14.96342206496286,7.919515113609055,0,0,0
CVY_07B16018,Bert Nielsen Lateral,1,FALSE,2.6676003135366617,0,13.546200852196481,2.6676003135366617,0,0,0
CVY_081FEFDF,Unnamed conveyance — Major Conveyance row 847,1,FALSE,5.522745462843841,0,8.51666022919697,5.522745462843841,0,0,0
CVY_085CA587,Oroville-Wyandotte Canal,1,TRUE,27.648149008228902,0.43834538855911925,0,27.648149008228902,1.585442079426926,1,1
CVY_0875DDAA,Contra Costa Canal,6,FALSE,65.05270474873859,0,3.2076594440079305,65.05270474873859,0,0,0
CVY_089467F7,SOUTH COAST CONDUIT TECOLATE TUNNEL,1,FALSE,6.338962541993174,0,3.8631328378329473,6.338962541993174,0,0,0
CVY_090F0857,Westside Main Canal,2,TRUE,44.00878415098954,0.789404003155044,0,44.00878415098954,1.7937419049039875,2,2
CVY_093335EA,Blakeley Canal,3,FALSE,27.092999002450558,0,1.0921591422139147,27.092999002450558,0,0,0
CVY_09CE51FD,Main Drain,1,FALSE,26.779370411781823,0,2.5720687628657903,26.779370411781823,0,0,0
CVY_0A1DC592,Stony Creek Irrigation Canal,18,FALSE,22.003300505115437,0,0.020120272483271844,22.003300505115437,0,0,0
CVY_0AA55CAA,Slate Creek Tunnel,1,FALSE,2.4770012250855964,0,2.829125377993779,2.4770012250855964,0,0,0
CVY_0AD82066,Glenn-Colusa Irrigation District Lateral 26-2A,1,FALSE,1.007079143485403,0,13.132716008935823,1.007079143485403,0,0,0
CVY_0B1B6B1E,First Lift Canal,3,FALSE,9.006573469644257,0,2.0491772461976208,9.006573469644257,0,0,0
CVY_0B6045ED,KLAMATH STRAITS DRAIN,1,FALSE,10.07740214741806,0,3.7321599126607086,10.07740214741806,0,0,0
CVY_0B91E68B,Fairfield Canal,1,FALSE,5.971895812999524,0,10.3591922321336,5.971895812999524,0,0,0
CVY_0BBBC458,Snell Pipeline,1,FALSE,14.456280308810353,0,9.004329238454451,14.456280308810353,0,0,0
