"NLCS_ID","GlobalID","NLCS_NAME","NSHT_SGMNT_NO","TRAIL_TYPE","MNG_AGCY","ADMIN_ST","NHT_CND_CTGY","CREATE_DAT","MODIFY_DATE","fixture_geometry_components"
"NLCS000280","{93CE38D7-117D-42E9-B649-3F7CE75647B5}","California Historic Trail","CA00000001","Historic","NPS","CA","Not Determined",2015-05-20,2018-01-31,114
"NLCS000281","{C395DCCB-B94D-489A-B5F4-4AC9BD73AEFB}","Pony Express Trail","CA00000002","Historic","NPS","CA","Not Determined",2015-05-20,2018-01-31,6
"NLCS000282","{CBF96761-2809-490E-8A62-9CB7073F7405}","Old Spanish Trail","CA00000003","Historic","Other","CA","Not Determined",2015-05-20,2018-01-31,28
"NLCS000283","{2B6E9491-852B-49A8-9803-6B669D6370E1}","Juan Bautista de Anza Trail","CA00000004","Historic","NPS","CA","Not Determined",2015-05-28,2018-01-31,7
"NLCS000284","{2FF32AAD-0DCF-432C-A0D9-78DB5C9C7C86}","Pacific Crest Trail","CA00000005","Scenic","USFS","CA","NA",2016-08-23,2018-01-31,11
"NLCS000285","{78A1BC33-D857-4F79-9941-309593674C29}","Butterfield Overland National Historic Trail","CA00000006","Historic","NPS","CA","Not Determined",2023-01-20,2023-01-20,11
