acec_id,component_id,related_layer_family,related_feature_id,related_feature_name,relationship_type,relationship_scope,relationship_method,relationship_source,relationship_source_url,spatial_derivation_required,intersection_area_acres,intersection_percent_of_component,intersection_percent_of_acec,relationship_last_verified,confidence,relationship_context_class,notes
acec-d96bbcd4a96783,blmca-c4cdb35b-9dfe-49ba-9818-be85d6da6780,blm_administrative_unit,CAD00000,California Desert District,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-d96bbcd4a96783,blmca-c4cdb35b-9dfe-49ba-9818-be85d6da6780,governing_plan,DOI-BLM-CA-D010-1980-0001-RMP-EIS,"CDCA Plan, as amended, DRECP amendment",planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://eplanning.blm.gov/eplanning-ui/project/66949/510,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-a139ef01241894,blmca-f9498e51-a565-4cca-ba07-c588baad8e5d,blm_administrative_unit,CAD00000,California Desert District,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-a139ef01241894,blmca-f9498e51-a565-4cca-ba07-c588baad8e5d,governing_plan,DOI-BLM-CA-D010-1980-0001-RMP-EIS,"CDCA Plan, as amended, DRECP amendment",planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://eplanning.blm.gov/eplanning-ui/project/66949/510,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-19799591ba4545,blmca-12860cc3-db16-4bb6-a608-318975e93cd7,blm_administrative_unit,CAD00000,California Desert District,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-19799591ba4545,blmca-12860cc3-db16-4bb6-a608-318975e93cd7,governing_plan,doc-c128ae117c38,"CDCA Plan, as amended by DRECP",planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-24e55012f8d038,blmca-e0714ddb-656b-469a-9fc7-61fa6d493baf,blm_administrative_unit,CAD06000,Palm Springs-South Coast Field Office,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-24e55012f8d038,blmca-e0714ddb-656b-469a-9fc7-61fa6d493baf,governing_plan,doc-3d53c357b064,South Coast,planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-fd15faa00160c7,blmca-2284a2b1-2fb5-487c-a377-ea6c56308913,blm_administrative_unit,CAD06000,Palm Springs-South Coast Field Office,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-fd15faa00160c7,blmca-2284a2b1-2fb5-487c-a377-ea6c56308913,governing_plan,doc-3d53c357b064,South Coast,planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
acec-767f8bc7520d68,blmca-1ef8f717-75af-4e0c-809a-3f06e7c2ebfe,blm_administrative_unit,CAD00000,California Desert District,administrative_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,false,,,,2026-08-05,high,documented_management_relationship,
acec-767f8bc7520d68,blmca-1ef8f717-75af-4e0c-809a-3f06e7c2ebfe,governing_plan,DOI-BLM-CA-D010-2014-0001-RMP-EIS,"CDCA Plan, as amended by DRECP",planning_relationship,source record,source_attribute,BLM CA ACEC FeatureServer,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,false,,,,2026-08-05,high_source_association,documented_management_relationship,Plan currency/supersession researched at framework level; detailed component history remains partial.
