"schema_version","forecast_key","source_family","product_type","product_family","forecast_period","geometry_id","view_applicability","measure_applicability","default_metric","allowed_popup_metrics","source_link_authority","source_link_roles","display_order","decision_note"
"1.0.0","CNRFC:MLIC0:WY_INDEX","CNRFC","water_year_index","water_year_index","Water Year","MLIC0_FNF","california_indexes","forecast_volume|percent_average|percent_median","percent_average","forecast_volume|percent_average|percent_median","producer_record","source_url",180,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:SCSC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","SCSC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",190,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:TMDC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","TMDC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",200,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:SHDC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","SHDC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",210,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:CEGC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","CEGC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",220,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:ORDC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","ORDC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",230,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:HLEC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","HLEC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",240,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:FOLC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","FOLC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",250,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:NDPC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","NDPC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",260,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:EXQC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","EXQC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",270,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:FRAC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","FRAC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",280,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:PFTC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","PFTC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",290,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:ISAC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","ISAC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",300,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:MHBC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","MHBC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",310,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:CMPC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","CMPC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",320,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:NMSC1:10D_VOLUME_ACCUM","CNRFC","ten_day_streamflow_volume_accumulation","ten_day_accumulation","Day 3 / Day 5 / Day 10","NMSC1_FNF","california_major_basins","median_accumulated_volume|deterministic_accumulated_volume","median_accumulated_volume","median_accumulated_volume|deterministic_accumulated_volume","producer_record","source_url",330,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:SCSC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","SCSC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",340,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:TMDC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","TMDC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",350,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:SHDC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","SHDC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",360,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:CEGC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","CEGC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",370,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:ORDC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","ORDC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",380,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:HLEC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","HLEC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",390,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:FOLC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","FOLC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",400,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:NDPC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","NDPC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",410,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:EXQC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","EXQC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",420,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:FRAC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","FRAC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",430,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:PFTC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","PFTC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",440,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:ISAC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","ISAC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",450,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:MHBC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","MHBC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",460,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:CMPC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","CMPC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",470,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:NMSC1:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","NMSC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",480,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:SACC0:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","SACC0_FNF","california_indexes","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",490,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:VNSC0:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","VNSC0_FNF","california_indexes","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",500,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:MLIC0:APR_JUL_VOLUME","CNRFC","april_july_streamflow_volume_forecast","april_july","Apr 1-Jul 31","MLIC0_FNF","california_indexes","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",510,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CBRFC:GLDA3:APR_JUL_WSUP","CBRFC","april_july_water_supply_forecast","april_july","Apr 1-Jul 31","GLDA3_CBRFC_MODELED_UPSTREAM","colorado_supply|california_colorado_comparison","forecast_volume|percent_average|percent_median","percent_average","forecast_volume|percent_average|percent_median","producer_record","source_url|retrieval_url|summary_url|archive_url",520,"Literal producer key from frozen CBRFC roster v1.3.0; Reclamation links remain supporting links."
"1.0.0","CBRFC:GLDA3:WATER_YEAR_INFLOW","CBRFC","water_year_unregulated_inflow_forecast","water_year","Water Year","GLDA3_CBRFC_MODELED_UPSTREAM","colorado_supply|california_colorado_comparison","forecast_volume|percent_average","percent_average","forecast_volume|percent_average","producer_record","source_url|retrieval_url|summary_url|archive_url",530,"Literal producer key from frozen CBRFC roster v1.3.0; Reclamation links remain supporting links."
"1.0.0","CBRFC:LKSA3:LOCAL_INTERVENING_MONTHLY","CBRFC","lake_mead_local_intervening_monthly_forecast","monthly_local_intervening","MONTHLY OUTLOOKS","LKSA3_CBRFC_LOCAL_INTERVENING","colorado_supply","selected_month_forecast_volume|selected_month_percent_median","selected_month_percent_median","monthly_forecasts|selected_month_forecast_volume|selected_month_percent_median|raw_and_corrected_date_label_provenance","producer_record","source_url|retrieval_url|summary_url|archive_url",540,"One producer record contains an ordered monthly array; Phase C selects one map-eligible month, never sums months, retains the full popup series and raw/corrected label provenance, and excludes expired months from thematic domains."
