"acec_id","component_id","current_field_office_key","current_field_office_code","current_field_office_name","intersection_area_m2","intersection_area_acres","percent_of_acec_area","acec_context_class","source_context_qa_class","relationship_method","minimum_intersection_area_m2","complete_coverage_percent","boundary_snapshot_date","derivation_date","confidence"
"acec-d5c6e9b559f032","blmca-c570fd0d-9d53-427a-b3f8-7872a809de3b","bakersfield_field_office","CAC06000","Bakersfield Field Office",1138017.655948,281.210286989,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-03ec5d2a34cc80","blmca-a73e8240-b840-484b-9f42-348ad3349efc","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",6982171.328314,1725.332109552,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-a876ae3f36b69f","blmca-9a67d72f-b38a-417b-8c90-a944496f53a1","bishop_field_office","CAC07000","Bishop Field Office",11515123.381406,2845.448955804,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-178e8ebea9723c","blmca-47c04f8a-020f-4874-bea5-b0e62e5b520c","barstow_field_office","CAD08000","Barstow Field Office",53634609.680538,13253.400684952,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-1a2274a209ecac","blmca-17caa1ee-c8df-44c4-a31a-f286579ab3dc","palm_springs_south_coast_field_office","CAD06000","Palm Springs-South Coast Field Office",9964980.597721,2462.400331913,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-93fa7f39d38b25","blmca-1259e74b-fdcb-4048-8dbd-d6b75c9b62e3","redding_field_office","CAN06000","Redding Field Office",700372.868645,173.065904876,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-98a6137ae90fa3","blmca-45fb448b-f4f6-4d0c-b704-563f7200bb36","mother_lode_field_office","CAC08000","Mother Lode Field Office",8227050.17495,2032.94837183,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-3a20d59207e54e","blmca-8d89eacc-a5c4-4270-a7ef-71d85baebf80","el_centro_field_office","CAD07000","El Centro Field Office",23778820.364327,5875.874476966,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-de4d49c5d889e6","blmca-73fce7c0-b767-4b9b-bd73-15b653cc036e","bishop_field_office","CAC07000","Bishop Field Office",23333671.087833,5765.875695188,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-eff7540c4ac147","blmca-b6701475-6841-46a3-b3ec-9bec083ca1b8","barstow_field_office","CAD08000","Barstow Field Office",41283098.551205,10201.275815642,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
