"schema_version","geometry_id","forecast_key","rfc","nws_lid","product_type","geometry_role","view_group","display_name","river_name","reservoir_name","source_geometry_type","geometry_source","source_id_field","source_id_value","component_manifest_id","source_url","observed_url","generalization_note","include_in_display","display_order","display_simplify_keep","cleanup_policy"
"1.0.0","ISAC1_FNF","CNRFC:ISAC1:WY_FNF","CNRFC","ISAC1","water_year_fnf","fnf_forecast_watershed","major_basin","Kern","Kern","Isabella","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","ISAC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=ISAC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","120","0.20","none"
"1.0.0","MHBC1_FNF","CNRFC:MHBC1:WY_FNF","CNRFC","MHBC1","water_year_fnf","fnf_forecast_watershed","major_basin","Cosumnes","Cosumnes","","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","MHBC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=MHBC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; Michigan Bar is forecast-location context, not a reservoir; original component lineage is not reconstructed.","TRUE","130","0.20","none"
"1.0.0","CMPC1_FNF","CNRFC:CMPC1:WY_FNF","CNRFC","CMPC1","water_year_fnf","fnf_forecast_watershed","major_basin","Mokelumne","Mokelumne","Pardee","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","CMPC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=CMPC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","140","0.20","none"
"1.0.0","NMSC1_FNF","CNRFC:NMSC1:WY_FNF","CNRFC","NMSC1","water_year_fnf","fnf_forecast_watershed","major_basin","Stanislaus","Stanislaus","New Melones","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","NMSC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=NMSC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","150","0.20","none"
"1.0.0","BDBC1_FNF","CNRFC:BDBC1:WY_FNF","CNRFC","BDBC1","water_year_fnf","fnf_forecast_watershed","index_component","Sacramento - Bend Bridge","Sacramento","","derived_dissolve","00_config/major_water_supply_basin_component_manifest.csv","component_manifest_id","MWSP_BDBC1_FNF_V1","MWSP_BDBC1_FNF_V1","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=BDBC1&prodID=9","","Reviewed geometry-only dissolve; Bend Bridge is forecast-location context rather than a reservoir; retained as an internal index component rather than an ordinary major-basin display feature.","FALSE","160","0.10","derived_watershed_holes_and_microscopic_parts"
"1.0.0","SACC0_FNF","CNRFC:SACC0:WY_INDEX","CNRFC","SACC0","water_year_index","fnf_index_watershed","index","Sacramento Valley - Water Supply Index","Sacramento Valley","","derived_dissolve","00_config/major_water_supply_basin_component_manifest.csv","component_manifest_id","MWSP_SACC0_FNF_V1","MWSP_SACC0_FNF_V1","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=SACC0&prodID=9","","Geometry-only index dissolve; forecast values must come directly from the official SACC0 product page.","TRUE","170","0.10","derived_watershed_holes_and_microscopic_parts"
"1.0.0","VNSC0_FNF","CNRFC:VNSC0:WY_INDEX","CNRFC","VNSC0","water_year_index","fnf_index_watershed","index","San Joaquin Valley - Water Supply Index","San Joaquin Valley","","derived_dissolve","00_config/major_water_supply_basin_component_manifest.csv","component_manifest_id","MWSP_VNSC0_FNF_V1","MWSP_VNSC0_FNF_V1","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=VNSC0&prodID=9","","Geometry-only index dissolve; forecast values must come directly from the official VNSC0 product page.","TRUE","180","0.10","derived_watershed_holes_and_microscopic_parts"
"1.0.0","MLIC0_FNF","CNRFC:MLIC0:WY_INDEX","CNRFC","MLIC0","water_year_index","fnf_index_watershed","index","Central Valley - Water Supply Index","Central Valley","","derived_dissolve","00_config/major_water_supply_basin_component_manifest.csv","component_manifest_id","MWSP_MLIC0_FNF_V1","MWSP_MLIC0_FNF_V1","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=MLIC0&prodID=9","","Geometry-only index dissolve; forecast values must come directly from the official MLIC0 product page.","TRUE","190","0.10","derived_watershed_holes_and_microscopic_parts"
"1.1.0","GLDA3_CBRFC_MODELED_UPSTREAM","CBRFC:GLDA3:APR_JUL_WSUP","CBRFC","GLDA3","april_july_water_supply_forecast","generalized_supply_watershed","colorado_supply","Generalized CBRFC modeled upstream supply area","Colorado River","Lake Powell","cbrfc_reviewed_dissolve","00_config/major_water_supply_basin_cbrfc_selector_manifest.csv","selector_manifest_id","CBRFC_GLDA3_UPSTREAM_V1","CBRFC_GLDA3_UPSTREAM_V1","https://www.cbrfc.noaa.gov/wsup/graph/espgraph_hc.html?id=GLDA3&year={WY}","","Reproducible union of the CBRFC Upper Colorado modeled basin set; not represented as a directly published cumulative GLDA3 watershed because the source files contain no documented explicit upstream-routing graph; excludes the Great Divide Closed Basin and portions of the below-Glen-Canyon corridor included in HUC2 14.","TRUE","200","0.05","none"
"1.1.0","LKSA3_CBRFC_LOCAL_INTERVENING","CBRFC:LKSA3:LOCAL_INTERVENING_MONTHLY","CBRFC","LKSA3","lake_mead_local_intervening_monthly_forecast","generalized_local_intervening_source_area","colorado_supply","Generalized Lake Mead local-intervening-flow source area","Colorado River","Lake Mead","cbrfc_reviewed_dissolve","00_config/major_water_supply_basin_cbrfc_selector_manifest.csv","selector_manifest_id","CBRFC_LKSA3_LOCAL_V1","CBRFC_LKSA3_LOCAL_V1","https://www.cbrfc.noaa.gov/product/hydrofcst/espaz_lml/lakemead.txt","","Reviewed union of official CBRFC operational basin groups; no exact official local-intervening polygon was found; represents contributing land area below Glen Canyon and above Lake Mead, not reservoir storage, evaporation, withdrawals, releases, return flow, or other mass-balance terms; excludes GLDA3 upstream drainage, Gila drainage, and Lower Colorado drainage below Lake Mead.","TRUE","210","0.05","display_source_hole_exception"
"1.1.0","HUC2_14_UPPER_COLORADO_CONTEXT","","","","","context_only","colorado_context","Upper Colorado Region — HUC2 14","Colorado River","","usgs_wbd_huc2","01_raw_data/co_riv/WBD_14_HU2_Shape.zip","huc2","14","","https://www.usgs.gov/national-hydrography/watershed-boundary-dataset","","Broad USGS WBD hydrologic-region context rather than an operational forecast footprint; has no forecast hover authority and does not participate in thematic domains.","TRUE","220","0.01","none"
"1.1.0","HUC2_15_LOWER_COLORADO_CONTEXT","","","","","context_only","colorado_context","Lower Colorado Region — HUC2 15","Colorado River","","usgs_wbd_huc2","01_raw_data/co_riv/WBD_15_HU2_Shape.zip","huc2","15","","https://www.usgs.gov/national-hydrography/watershed-boundary-dataset","","Broad USGS WBD hydrologic-region context rather than an operational forecast footprint; has no forecast hover authority and does not participate in thematic domains.","TRUE","230","0.01","none"
