"facility_id","canonical_name","lbl","lbl_full","aliases","parent_system","project_family","project_name","project_division","project_unit","project_subunit","project_path","ownership_class","owner_agency","operator_agency","facility_group","facility_type","network_role","display_rank","display_rank_source","display_rank_reason","status","length_mi","segment_count","geometry_confidence","decision_ids","facility_crosses_blm","facility_length_on_blm_mi","facility_min_blm_distance_mi","facility_blm_field_offices"
"CVY_03DDB527","Westlands Water District Lateral 4-5.5","WWD Lateral 4-5.5","Westlands Water District Lateral 4-5.5","WWD Lateral 4-5.5","Westlands Water District conveyance system","Local/regional public","Westlands Water District conveyance system","","","","","Local/regional public","","Westlands Water District","Distribution/local","Lateral","Distribution","local_supporting","automatic","Automatic standard/local rank.","unknown",6.50367790578038,1,"high","A14",FALSE,0,3.85091101395138,
"CVY_03E6A686","Alejandro Canal","Alejandro Canal","Alejandro Canal","","","Unknown/unassigned","Unassigned","","","","","Unknown","","North Kern Water Storage District","Open conveyance","Canal","Unknown","local_supporting","automatic","Automatic standard/local rank.","unknown",5.93482023460314,2,"medium","UNREVIEWED",FALSE,0,4.49684860312975,
"CVY_03EECDC1","Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved)","SFPUC Bay Division Pipelines","Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved)","SFPUC Bay Division Pipelines; Hetch Hetchy Regional Water System pipeline","Hetch Hetchy Regional Water System","Local/regional public","Hetch Hetchy Regional Water System","","Bay Division Pipelines","","Bay Division Pipelines","Local/regional public","","","Closed conveyance","Pipeline","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",32.55181644486,1,"medium","31",FALSE,0,10.011405351273,
"CVY_03EF0B1D","Stahl Ditch","Stahl Ditch","Stahl Ditch","","","Unknown/unassigned","Unassigned","","","","","Unknown","","","Distribution/local","Ditch","Distribution","local_supporting","automatic","Automatic standard/local rank.","unknown",4.40547638740849,2,"medium","UNREVIEWED",FALSE,0,1.98045559030015,
"CVY_040635D8","Spangler South","Spangler South","Spangler South","","","Unknown/unassigned","Unassigned","","","","","Unknown","","","Other/unknown","Unknown","Unknown","local_supporting","automatic","Automatic standard/local rank.","unknown",1.17486361374081,2,"medium","UNREVIEWED",FALSE,0,21.6175328686635,
"CVY_0438E8F2","Adams West Canal","Adams West Canal","Adams West Canal","","","Unknown/unassigned","Unassigned","","","","","Unknown","","","Open conveyance","Canal","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",13.0020636524873,1,"medium","UNREVIEWED",FALSE,0,3.61263166434422,
"CVY_043B4F94","El Centro","El Centro","El Centro","","","Unknown/unassigned","Unassigned","","","","","Unknown","","","Other/unknown","Unknown","Unknown","local_supporting","automatic","Automatic standard/local rank.","unknown",1.25607412111132,1,"medium","UNREVIEWED",FALSE,0,16.1966873006584,
"CVY_048110EF","South San Joaquin Main Canal","Main District Canal","South San Joaquin Main Canal","Main District Canal","South San Joaquin Irrigation District system","Local/regional public","South San Joaquin Irrigation District system","","","","","Local/regional public","","","Open conveyance","Canal","Mainline","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",16.7592558071221,1,"high","23",FALSE,0,1.92733265425881,
"CVY_04CF4069","Shafter-Wasco Irrigation District Lateral","Shafter Wasco ID Lateral","Shafter-Wasco Irrigation District Lateral","Shafter Wasco ID Lateral","Shafter-Wasco Irrigation District conveyance system","Local/regional public","Shafter-Wasco Irrigation District conveyance system","","","","","Local/regional public","","Shafter Wasco Irrigation District","Distribution/local","Lateral","Distribution","local_supporting","automatic","Automatic standard/local rank.","unknown",5.31804802474763,1,"medium","A57",FALSE,0,8.32903913050196,
"CVY_04D47F32","Consolidated Peoples Ditch","Consolidated Peoples Ditch","Consolidated Peoples Ditch","","","Unknown/unassigned","Unassigned","","","","","Unknown","","Kaweah Delta WCD","Distribution/local","Ditch","Distribution","local_supporting","automatic","Automatic standard/local rank.","unknown",2.30159808447323,1,"medium","UNREVIEWED",FALSE,0,4.93207925204339,
"CVY_04E8ED29","Dry Creek Canal","Dry Creek Canal","Dry Creek Canal","","","Local/regional public","Fresno Irrigation District","","","","","Local/regional public","","Fresno Irrigation District","Open conveyance","Canal","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",21.6081037830975,1,"medium","UNREVIEWED",FALSE,0,18.7594810344506,
"CVY_05028EEA","CHOWCHILLA BYPASS","CHOWCHILLA BYPASS","CHOWCHILLA BYPASS","","","Other Reclamation","Reclamation project (unit unassigned)","","","","","Federal","","US Bureau of Reclamation","Open conveyance","Canal","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",21.7566448042285,1,"medium","UNREVIEWED",FALSE,0,3.2099230106703,
"CVY_053D77D4","South Fork Power Tunnel","South Fork Power Tunnel","South Fork Power Tunnel","","","Unknown/unassigned","Unassigned","","","","","Unknown","","","Closed conveyance","Tunnel","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",2.70168492710188,1,"medium","UNREVIEWED",FALSE,0,1.88201167105898,
"CVY_0555A924","MARIPOSA BYPASS","MARIPOSA BYPASS","MARIPOSA BYPASS","","","Other Reclamation","Reclamation project (unit unassigned)","","","","","Federal","","US Bureau of Reclamation","Open conveyance","Canal","Unknown","local_supporting","automatic","Automatic standard/local rank.","unknown",4.37838723352595,1,"medium","UNREVIEWED",FALSE,0,21.9671279428629,
