"layer_id","display_name","category","canonical_group","cache_file","cache_path","cache_exists","cache_size_mb","cache_read_ok","read_error","source_kind","object_class","is_sf","is_list_cache","list_names","n_features","n_columns","geometry_family_expected","geometry_types","crs_epsg","layer_object_size_mb","n_coordinates","geometry_wkt_mb","attributes_json_mb","attributes_character_mb","popup_html_mb","hover_tooltip_mb","label_candidate_mb","style_candidate_mb","estimated_text_payload_mb","full_cache_text_payload_mb","likely_leaflet_attr_json_mb","likely_leaflet_text_payload_mb","full_minus_likely_mb","likely_leaflet_fields","likely_leaflet_method","likely_leaflet_note","geom_mb_per_1000_features","attr_json_mb_per_1000_features","popup_mb_per_1000_features","payload_note"
"huc6","HUC6","Basins","Basins – HUC6 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,24,40,"polygon","POLYGON;MULTIPOLYGON","4326",0.475,,0.5,0.046,0.027,0.022,0,0.001,0,0.546,0.546,0.026,0.526,0.02,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",20.833,1.917,0.917,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc_all_map::huc6","huc6 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,24,40,,"POLYGON;MULTIPOLYGON","4326",0.475,,0.5,0.046,0.027,0.022,0,0.001,0,0.546,0.546,0.026,0.526,0.02,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",20.833,1.917,0.917,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc4","HUC4","Basins","Basins – HUC4 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,16,35,"polygon","MULTIPOLYGON;POLYGON","4326",0.456,,0.503,0.027,0.016,0.013,0,0.001,0,0.53,0.53,0.016,0.519,0.011,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",31.438,1.688,0.812,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc_all_map::huc4","huc4 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,16,35,,"MULTIPOLYGON;POLYGON","4326",0.456,,0.503,0.027,0.016,0.013,0,0.001,0,0.53,0.53,0.016,0.519,0.011,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",31.438,1.688,0.812,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc2","HUC2","Basins","Basins – HUC2 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,4,30,"polygon","MULTIPOLYGON;POLYGON","4326",0.306,,0.351,0.006,0.003,0.003,0,0,0,0.357,0.357,0.003,0.355,0.002,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",87.75,1.5,0.75,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc_all_map::huc2","huc2 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,4,30,,"MULTIPOLYGON;POLYGON","4326",0.306,,0.351,0.006,0.003,0.003,0,0,0,0.357,0.357,0.003,0.355,0.002,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",87.75,1.5,0.75,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"drecp","DRECP","Reference","Reference – DRECP","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1,14,"polygon","POLYGON","4326",0.254,16042,0.302,0,0,0,0,0,0,0.303,0.303,0,0.303,0,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",302,0,0,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::drecp","drecp [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,1,14,,"POLYGON","4326",0.254,16042,0.302,0,0,0,0,0,0,0.303,0.303,0,0.303,0,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",302,0,0,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"cnrfc_fnf_delta","CNRFC FNF Delta Basins","Basins","Basins – CNRFC FNF Delta Basins","cnrfc_fnf_delta_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_fnf_delta_map.rds",TRUE,0.191,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,15,8,"polygon","POLYGON","4326",0.26,15397,0.291,0.007,0.006,0.005,0.001,0,0,0.298,0.298,0.006,0.297,0.001,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",19.4,0.467,0.333,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"cdec_reservoir_stations","CDEC Reservoir Stations","Points","Points – CDEC Reservoir Stations","cdec_reservoir_stations_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cdec_reservoir_stations_map.rds",TRUE,0.047,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,218,69,"point","POINT","4326",0.665,218,0.005,0.741,0.377,0.218,0.018,0,0,0.746,0.746,0.245,0.25,0.496,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.023,3.399,1,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"snow_pillows","Snow Pillows","Points","Points – Snow Pillows","snow_pillows_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/snow_pillows_map.rds",TRUE,0.035,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,304,20,"point","POINT","4326",0.544,304,0.007,0.395,0.262,0.198,0.022,0,0,0.402,0.402,0.235,0.242,0.16,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.023,1.299,0.651,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"x2_km","CVP/SWP X2 km points","Points","Reference – CVP/SWP X2 km points","x2_km_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/x2_km_map.rds",TRUE,0.007,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,178,6,"point","POINT","4326",0.322,178,0.004,0.224,0.21,0.209,0.001,0,0,0.229,0.229,0.216,0.221,0.008,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.022,1.258,1.174,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"blm_diffs","BLM Held/Managed Differences","Core","Core – BLM Held/Managed Differences","blm_diffs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_diffs_map.rds",TRUE,0.041,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,2,6,"polygon","MULTIPOLYGON","4326",0.07,3339,0.063,0.001,0,0,0,0,0,0.064,0.064,0,0.064,0,"popup_html;fill_col;stroke_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",31.5,0.5,0,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"scan_stations","SCAN Stations","Points","Points – SCAN Stations","scan_stations_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/scan_stations_map.rds",TRUE,0.004,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,28,24,"point","POINT","4326",0.058,28,0.001,0.037,0.021,0.016,0.001,0,0,0.038,0.038,0.019,0.02,0.018,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.036,1.321,0.571,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"blm_offices","BLM Offices","Core","Core – BLM Offices","blm_offices_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_offices_map.rds",TRUE,0.002,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,19,13,"point","POINT","4326",0.025,19,0,0.009,0.005,0.003,0,0,0,0.009,0.009,0.005,0.005,0.004,"popup_html;office_type_label;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0,0.474,0.158,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"project_areas","Project area(s)","Core","Core – Project area(s)","project_areas_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/project_areas_map.rds",TRUE,0.001,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,0,6,"polygon",,"4326",0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,"popup_html","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",,,,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"wild_scenic_rivers","Wild & Scenic Rivers","Channels","Channels – Wild & Scenic Rivers","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"line",,,,,,,,,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
"national_scenic_historic_trails","National Scenic/Historic Trails","Reference","Reference – National Scenic/Historic Trails","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"polygon",,,,,,,,,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
"national_monuments","National Monuments","Reference","Reference – National Monuments","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"polygon",,,,,,,,,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
"wilderness_study_areas","Wilderness Study Areas","Reference","Reference – Wilderness Study Areas","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"polygon",,,,,,,,,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
"federal_wilderness","Federal Wilderness","Reference","Reference – Federal Wilderness","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"polygon",,,,,,,,,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
"grazing_allotments","Grazing Allotments","Reference","Reference – Grazing Allotments","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","list",FALSE,TRUE,"trails;monuments;cadesert_ncl;wildernessstudyarea;fedwilderness;drecp;acec;allotments;wsr;gsps;gwbasins_adjd",,,"polygon",,,,,,,,,,,,,,,,,,,,,,,"list cache not expanded by registry row; see list_child rows if present"
