"layer_id","display_name","category","canonical_group","cache_file","cache_path","cache_exists","cache_size_mb","cache_read_ok","read_error","source_kind","object_class","is_sf","is_list_cache","list_names","n_features","n_columns","geometry_family_expected","geometry_types","crs_epsg","layer_object_size_mb","n_coordinates","geometry_wkt_mb","attributes_json_mb","attributes_character_mb","popup_html_mb","hover_tooltip_mb","label_candidate_mb","style_candidate_mb","estimated_text_payload_mb","full_cache_text_payload_mb","likely_leaflet_attr_json_mb","likely_leaflet_text_payload_mb","full_minus_likely_mb","likely_leaflet_fields","likely_leaflet_method","likely_leaflet_note","geom_mb_per_1000_features","attr_json_mb_per_1000_features","popup_mb_per_1000_features","payload_note"
"acec","ACECs","Reference","Reference – ACECs","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,238,16,"polygon","MULTIPOLYGON","4326",3.709,217755,4.113,0.107,0.047,0.016,0,0.002,0,4.22,4.22,0.026,4.139,0.081,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",17.282,0.45,0.067,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::acec","acec [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,238,16,,"MULTIPOLYGON","4326",3.709,217755,4.113,0.107,0.047,0.016,0,0.002,0,4.22,4.22,0.026,4.139,0.081,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",17.282,0.45,0.067,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"rwqcb_regions","RWQCB Regions","Reference","Reference – RWQCB Regions","rwqcb_regions_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/rwqcb_regions_map.rds",TRUE,2.708,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,9,16,"polygon","MULTIPOLYGON","4326",3.271,212739,4.012,0.005,0.002,0.001,0,0,0,4.017,4.017,0.002,4.014,0.003,"popup_html;rwqcb_hover_text;rwqcb_label_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",445.778,0.556,0.111,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::trails","trails [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,6,15,,"MULTILINESTRING","4326",3.06,197182,3.72,0.002,0.001,0,0,0,0,3.722,3.722,0,3.72,0.002,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",620,0.333,0,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc10","HUC10","Basins","Basins – HUC10 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1128,49,"polygon","POLYGON;MULTIPOLYGON","4326",4.406,,2.196,2.547,1.444,1.224,0,0.037,0,4.743,4.743,1.403,3.598,1.145,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",1.947,2.258,1.085,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc_all_map::huc10","huc10 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,1128,49,,"POLYGON;MULTIPOLYGON","4326",4.406,,2.196,2.547,1.444,1.224,0,0.037,0,4.743,4.743,1.403,3.598,1.145,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",1.947,2.258,1.085,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"deltamapr_canals","Deltamapr Conveyance","Channels","Channels – Deltamapr Conveyance","deltamapr_canals_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/deltamapr_canals_map.rds",TRUE,1.798,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,508,11,"line","LINESTRING;MULTILINESTRING","4326",2.813,,2.776,0.244,0.159,0.065,0.046,0,0,3.02,3.02,0.13,2.907,0.113,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",5.465,0.48,0.128,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"swrcb_wr_list_official","SWRCB 2026 BLM WR list records","Points","Points – SWRCB 2026 BLM WR list records","swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3510,25,"point","POINT","4326",5.962,3510,0.086,5.656,3.679,2.275,0.336,0,0,5.743,5.743,2.788,2.875,2.868,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.025,1.611,0.648,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"swrcb_pod_spatial_matches","SWRCB additional PODs spatially matched to BLM","Points","Points – SWRCB additional PODs spatially matched to BLM","swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3510,25,"point","POINT","4326",5.962,3510,0.086,5.656,3.679,2.275,0.336,0,0,5.743,5.743,2.788,2.875,2.868,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.025,1.611,0.648,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"swrcb_name_text_candidates","SWRCB additional BLM name/text-match candidates","Points","Points – SWRCB additional BLM name/text-match candidates","swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3510,25,"point","POINT","4326",5.962,3510,0.086,5.656,3.679,2.275,0.336,0,0,5.743,5.743,2.788,2.875,2.868,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.025,1.611,0.648,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"major_conveyance","Major Conveyance","Channels","Channels – Major Conveyance","major_conveyance_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/major_conveyance_map.rds",TRUE,1.647,TRUE,,"registry_row","sf;tbl_df;tbl;data.frame",TRUE,FALSE,,444,7,"line","LINESTRING;MULTILINESTRING","4326",2.547,,2.537,0.109,0.067,0.049,0,0,0,2.647,2.647,0.058,2.596,0.051,"popup_html","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",5.714,0.245,0.11,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::wsr","wsr [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,277,17,,"MULTILINESTRING","4326",2.3,135402,2.559,0.11,0.036,0.004,0,0,0,2.668,2.668,0.014,2.573,0.095,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",9.238,0.397,0.014,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::allotments","allotments [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,694,16,,"MULTIPOLYGON","4326",2.774,122741,2.329,0.293,0.117,0.03,0,0.007,0,2.622,2.622,0.058,2.386,0.236,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",3.356,0.422,0.043,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"usgs_streamgages","USGS Streamgages","Points","Points – USGS Streamgages","usgs_streamgages_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_streamgages_map.rds",TRUE,0.351,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,2387,17,"point","POINT","4326",5.243,2387,0.059,4.23,3.621,1.55,0,0,0,4.289,4.289,1.73,1.789,2.5,"color;fillColor;popup_html","usgs_streamgages_formula_subset","Approximates formula-derived colors plus popup_html.",0.025,1.772,0.649,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::wildernessstudyarea","wildernessstudyarea [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,63,15,,"MULTIPOLYGON","4326",1.434,88726,1.675,0.025,0.01,0.003,0,0,0,1.7,1.7,0.005,1.68,0.02,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",26.587,0.397,0.048,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"ca_desert_ncl","CA Desert National Conservation Lands","Reference","Reference – CA Desert National Conservation Lands","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,11,15,"polygon","MULTIPOLYGON","4326",1.355,84149,1.588,0.004,0.002,0,0,0,0,1.593,1.593,0.001,1.589,0.004,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",144.364,0.364,0,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::cadesert_ncl","cadesert_ncl [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,11,15,,"MULTIPOLYGON","4326",1.355,84149,1.588,0.004,0.002,0,0,0,0,1.593,1.593,0.001,1.589,0.004,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",144.364,0.364,0,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
