"layer_id","display_name","cache_file","cache_exists","cache_path","cache_size_mb","cache_size_pct_of_250mb","read_error","object_class","is_sf","is_list_cache","list_names","n_features","geometry_family_expected","geometry_types","crs_epsg","bbox","western_us_bbox_ok","contains_zero_zero","empty_geometry_count","invalid_geometry_count","required_fields","missing_required_fields","required_fields_max_blank_fraction","duplicate_coord_groups","max_coord_stack","duplicate_id_groups","warning_count","warnings"
"cnrfc_stream","CNRFC River & Reservoir","cnrfc_stream_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_stream_map.rds",0.238,0.1,,"sf;tbl_df;tbl;data.frame",TRUE,FALSE,,2047,"point","POINT","4326","xmin=-124.28222;ymin=32.44417;xmax=-113.58111;ymax=42.37333",TRUE,FALSE,0,0,"popup_html",,0,34,3,0,0,"OK"
"cnrfc_precip","CNRFC Precip Gages","cnrfc_precip_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_precip_map.rds",0.262,0.1,,"sf;tbl_df;tbl;data.frame",TRUE,FALSE,,3137,"point","POINT","4326","xmin=-124.30028;ymin=32.27222;xmax=-113.44444;ymax=42.37778",TRUE,FALSE,0,0,"popup_html",,0,19,2,0,0,"OK"
"cdec_reservoir_stations","CDEC Reservoir Stations","cdec_reservoir_stations_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cdec_reservoir_stations_map.rds",0.047,0,,"sf;tbl_df;tbl;data.frame",TRUE,FALSE,,218,"point","POINT","4326","xmin=-123.432999;ymin=32.609001;xmax=-116.550003;ymax=41.540894",TRUE,FALSE,0,0,"popup_html",,0,4,2,0,0,"OK"
"usgs_streamgages","USGS Streamgages","usgs_streamgages_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_streamgages_map.rds",0.351,0.1,,"sf;data.frame",TRUE,FALSE,,2387,"point","POINT","4326","xmin=-124.294215;ymin=32.551723;xmax=-114.14023;ymax=42.006236",TRUE,FALSE,0,0,"popup_html",,0,74,7,0,0,"OK"
"usgs_wells","USGS Wells","usgs_wells_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_wells_map.rds",5.724,2.3,,"sf;data.frame",TRUE,FALSE,,44159,"point","POINT","4326","xmin=-124.289493;ymin=32.542483;xmax=-114.133419;ymax=41.998762",TRUE,FALSE,0,0,"popup_html",,0,1710,11,0,1,"large duplicate coordinate stack: 11"
"swrcb_wr_list_official","SWRCB 2026 BLM WR list records","swrcb_pod_wr_blm_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",0.276,0.1,,"sf;data.frame",TRUE,FALSE,,3510,"point","POINT","4326","xmin=-124.350901;ymin=32.604916;xmax=-114.145191;ymax=41.99436",TRUE,FALSE,0,0,"popup_html;pt_match_class","pt_match_class",0,323,30,0,2,"missing required fields: pt_match_class | large duplicate coordinate stack: 30"
"swrcb_pod_spatial_matches","SWRCB additional PODs spatially matched to BLM","swrcb_pod_wr_blm_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",0.276,0.1,,"sf;data.frame",TRUE,FALSE,,3510,"point","POINT","4326","xmin=-124.350901;ymin=32.604916;xmax=-114.145191;ymax=41.99436",TRUE,FALSE,0,0,"popup_html;pt_match_class","pt_match_class",0,323,30,0,2,"missing required fields: pt_match_class | large duplicate coordinate stack: 30"
"swrcb_name_text_candidates","SWRCB additional BLM name/text-match candidates","swrcb_pod_wr_blm_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",0.276,0.1,,"sf;data.frame",TRUE,FALSE,,3510,"point","POINT","4326","xmin=-124.350901;ymin=32.604916;xmax=-114.145191;ymax=41.99436",TRUE,FALSE,0,0,"popup_html;pt_match_class","pt_match_class",0,323,30,0,2,"missing required fields: pt_match_class | large duplicate coordinate stack: 30"
"x2_km","CVP/SWP X2 km points","x2_km_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/x2_km_map.rds",0.007,0,,"sf;data.frame",TRUE,FALSE,,178,"point","POINT","4326","xmin=-122.477845;ymin=37.819338;xmax=-121.500959;ymax=38.585136",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"springs","Springs","springs_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/springs_map.rds",0.643,0.3,,"sf;data.frame",TRUE,FALSE,,27278,"point","POINT","4326","xmin=-124.401778;ymin=32.563042;xmax=-114.14389;ymax=42.921155",TRUE,FALSE,0,0,"popup_html",,0,16,2,0,0,"OK"
