source_key,source_family,source_layer,layer_url,where_clause,geometry_role,production_local_layer,qa_retrieval,required_geometry_type,required_fields,source_id_field,source_homepage_url,source_service_root_url,notes
epa_2025_ca_polygons,EPA,EPA Mapped Boundaries,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/Aquifer_Exemptions_Feature_Layer/FeatureServer/1,State='CA',mapped exemption footprint,TRUE,TRUE,esriGeometryPolygon,OBJECTID;ID_1;Injection_Well_ID;Well_Class;Injection_Activity;State;County;Injection_Zone;Decision_Date;Data_Quality_Category,ID_1,https://www.epa.gov/uic/aquifer-exemption-data,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/Aquifer_Exemptions_Feature_Layer/FeatureServer,Primary statewide source layer; preserve repeated and overlapping source records.
epa_2025_ca_points,EPA,EPA Reference Points,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/Aquifer_Exemptions_Feature_Layer/FeatureServer/0,State='CA',reference centroid,FALSE,TRUE,esriGeometryPoint,OBJECTID;ID;Injection_Well_ID;State;County;Injection_Zone;Decision_Date,ID,https://www.epa.gov/uic/aquifer-exemption-data,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/Aquifer_Exemptions_Feature_Layer/FeatureServer,QA only. These are reference centroids or locators; they are not wells or additional exemptions.
epa_2025_ca_county_locations,EPA,EPA County Locations,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/Aquifer_Exemptions_Feature_Layer/FeatureServer/2,State='CA',county-only location indicator,FALSE,TRUE,esriGeometryPolygon,OBJECTID;ID;Injection_Well_ID;State;County;Injection_Zone;Decision_Date;Data_Quality_Category,ID,https://www.epa.gov/uic/aquifer-exemption-data,https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/Aquifer_Exemptions_Feature_Layer/FeatureServer,QA only. County geometry is a location indicator and is not an exemption boundary.
calgem_post_primacy,CalGEM,CalGEM Post-Primacy Approvals,https://gis.conservation.ca.gov/server/rest/services/CalGEM/Post_Primacy_Aquifer_Exemptions/FeatureServer/0,1=1,mapped exemption footprint,TRUE,TRUE,esriGeometryPolygon,OBJECTID;Name;Field_Labe;Formation;Zone;County;ID;Well_Class;Approve;Documentat,ID,https://www.conservation.ca.gov/calgem/Pages/Aquifer-Exemptions-Status.aspx,https://gis.conservation.ca.gov/server/rest/services/CalGEM/Post_Primacy_Aquifer_Exemptions/FeatureServer,Rich source attributes; keep source-specific and separate from EPA.
calgem_primacy_shaded_subset,CalGEM,CalGEM 1983 Primacy Shaded Subset,https://gis.conservation.ca.gov/server/rest/services/CalGEM/Primacy_Aquifer_Exemptions/FeatureServer/0,1=1,mapped historic shaded footprint,TRUE,TRUE,esriGeometryPolygon,OBJECTID_1;OBJECTID;FieldName;AreaName;Doc_Source;FormZone1,OBJECTID_1,https://www.conservation.ca.gov/calgem/Pages/Aquifer-Exemptions-Status.aspx,https://gis.conservation.ca.gov/server/rest/services/CalGEM/Primacy_Aquifer_Exemptions/FeatureServer,Partial historic shaded subset; not a complete map of all 1983 exemptions.
